CMDLINE /home/nvremort/venv/bin/python3 profiling.py
MEM 0.500000 1710172887.9185
MEM 21.875000 1710172888.0188
MEM 26.125000 1710172888.1191
MEM 27.777344 1710172888.2194
MEM 27.777344 1710172888.3197
MEM 27.902344 1710172888.4200
MEM 27.902344 1710172888.5203
MEM 28.027344 1710172888.6207
MEM 28.027344 1710172888.7211
MEM 28.027344 1710172888.8214
MEM 28.027344 1710172888.9216
MEM 28.027344 1710172889.0219
MEM 28.152344 1710172889.1222
MEM 28.152344 1710172889.2225
MEM 28.277344 1710172889.3228
