CMDLINE /home/nvremort/venv/bin/python3 profiler_test.py
MEM 0.500000 1710172973.1416
MEM 21.875000 1710172973.2419
MEM 28.375000 1710172973.3423
MEM 30.375000 1710172973.4426
MEM 30.875000 1710172973.5429
MEM 31.500000 1710172973.6433
MEM 32.250000 1710172973.7436
MEM 32.625000 1710172973.8440
MEM 33.500000 1710172973.9443
MEM 34.250000 1710172974.0446
MEM 35.000000 1710172974.1449
MEM 35.625000 1710172974.2452
MEM 38.515625 1710172974.3455
MEM 38.515625 1710172974.4458
MEM 38.515625 1710172974.5461
