CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiling_decorator.py
MEM 0.371094 1773829229.8469
MEM 30.394531 1773829229.9472
MEM 34.550781 1773829230.0476
MEM 34.550781 1773829230.1481
MEM 34.550781 1773829230.2485
MEM 34.550781 1773829230.3489
MEM 34.550781 1773829230.4494
MEM 34.550781 1773829230.5499
MEM 34.550781 1773829230.6503
MEM 34.550781 1773829230.7507
MEM 34.550781 1773829230.8511
MEM 34.550781 1773829230.9514
MEM 34.550781 1773829231.0519
MEM 34.550781 1773829231.1523
MEM 34.550781 1773829231.2527
MEM 34.550781 1773829231.3531
MEM 34.550781 1773829231.4535
MEM 34.550781 1773829231.5539
MEM 34.550781 1773829231.6543
MEM 34.550781 1773829231.7548
MEM 34.550781 1773829231.8551
MEM 34.550781 1773829231.9556
MEM 34.550781 1773829232.0561
MEM 34.550781 1773829232.1566
MEM 34.550781 1773829232.2570
MEM 34.550781 1773829232.3575
MEM 34.550781 1773829232.4579
MEM 34.550781 1773829232.5583
MEM 34.550781 1773829232.6587
MEM 34.550781 1773829232.7593
MEM 34.550781 1773829232.8597
MEM 34.550781 1773829232.9602
MEM 34.550781 1773829233.0606
MEM 34.550781 1773829233.1611
MEM 34.550781 1773829233.2615
MEM 34.550781 1773829233.3619
MEM 34.550781 1773829233.4623
MEM 34.550781 1773829233.5627
MEM 34.550781 1773829233.6631
MEM 34.550781 1773829233.7636
MEM 34.550781 1773829233.8640
MEM 34.550781 1773829233.9645
MEM 34.550781 1773829234.0651
MEM 34.550781 1773829234.1656
MEM 34.550781 1773829234.2660
MEM 34.550781 1773829234.3665
MEM 34.550781 1773829234.4669
MEM 34.550781 1773829234.5673
MEM 34.550781 1773829234.6678
MEM 34.550781 1773829234.7682
MEM 34.550781 1773829234.8686
MEM 34.550781 1773829234.9691
MEM 34.550781 1773829235.0695
MEM 34.550781 1773829235.1701
MEM 34.550781 1773829235.2706
MEM 34.550781 1773829235.3711
MEM 34.550781 1773829235.4716
MEM 34.550781 1773829235.5721
MEM 34.550781 1773829235.6725
MEM 34.550781 1773829235.7730
MEM 34.550781 1773829235.8733
MEM 34.550781 1773829235.9737
MEM 34.550781 1773829236.0741
